GEIST-IMD-MIB,,,,
,,,,
OID name,OID,access,type,units
,,,,
General System Information OIDs,,,,
sysDescr,1.3.6.1.2.1.1.1,read only,DisplayString,
sysObjectID,1.3.6.1.2.1.1.2,read only,OBJECT IDENTIFIER,
sysUpTime,1.3.6.1.2.1.1.3,read only,TimeTicks,
sysContact,1.3.6.1.2.1.1.4,read only,DisplayString,
sysName,1.3.6.1.2.1.1.5,read only,DisplayString,
sysLocation,1.3.6.1.2.1.1.6,read only,DisplayString,
sysServices,1.3.6.1.2.1.1.7,read only,INTEGER(1..100),
,,,,
General Device Information OIDs,,,,
deviceInfo,1.3.6.1.4.1.21239.5.2.1,no-access,other,
productTitle,1.3.6.1.4.1.21239.5.2.1.1,read-only,DisplayString,
productVersion,1.3.6.1.4.1.21239.5.2.1.2,read-only,DisplayString,
productFriendlyName,1.3.6.1.4.1.21239.5.2.1.3,read-only,DisplayString,
productMacAddress,1.3.6.1.4.1.21239.5.2.1.4,read-only,OCTET STRING,
productUrl,1.3.6.1.4.1.21239.5.2.1.5,read-only,IpAddress,
deviceCount,1.3.6.1.4.1.21239.5.2.1.6,read-only,Integer32(0..100),
temperatureUnits,1.3.6.1.4.1.21239.5.2.1.7,read-write,Integer32(0..1),
,,,,
PDU general information,,,,
pduMainTable,1.3.6.1.4.1.21239.5.2.3.1,no-access,other,
PduMainEntry,1.3.6.1.4.1.21239.5.2.3.1.1,no-access,other,
pduMainIndex,1.3.6.1.4.1.21239.5.2.3.1.1.1,read-only,Integer32(1..100),
pduMainSerial,1.3.6.1.4.1.21239.5.2.3.1.1.2,read-only,DisplayString,
pduMainName,1.3.6.1.4.1.21239.5.2.3.1.1.3,read-only,DisplayString,
pduMainLabel,1.3.6.1.4.1.21239.5.2.3.1.1.4,read-only,DisplayString,
pduMainAvail,1.3.6.1.4.1.21239.5.2.3.1.1.5,read-only,Gauge32,
pduMeterType,1.3.6.1.4.1.21239.5.2.3.1.1.6,read-only,Integer32(0..1),
pduTotalName,1.3.6.1.4.1.21239.5.2.3.1.1.7,read-only,DisplayString,
pduTotalLabel,1.3.6.1.4.1.21239.5.2.3.1.1.8,read-only,DisplayString,
pduTotalRealPower,1.3.6.1.4.1.21239.5.2.3.1.1.9,read-only,Gauge32,watts
pduTotalApparentPower,1.3.6.1.4.1.21239.5.2.3.1.1.10,read-only,Gauge32,volt-amps
pduTotalPowerFactor,1.3.6.1.4.1.21239.5.2.3.1.1.11,read-only,Gauge32,%
pduTotalEnergy,1.3.6.1.4.1.21239.5.2.3.1.1.12,read-only,Gauge32,watt-hours
,,,,
PDU phases information,,,,
pduPhaseTable,1.3.6.1.4.1.21239.5.2.3.2,no-access,other,
PduPhaseEntry,1.3.6.1.4.1.21239.5.2.3.2.1,no-access,other,
pduPhaseIndex,1.3.6.1.4.1.21239.5.2.3.2.1.1,read-only,Integer32(1..100),
pduPhaseName,1.3.6.1.4.1.21239.5.2.3.2.1.2,read-only,DisplayString,
pduPhaseLabel,1.3.6.1.4.1.21239.5.2.3.2.1.3,read-only,DisplayString,
pduPhaseVoltage,1.3.6.1.4.1.21239.5.2.3.2.1.4,read-only,Gauge32,decivolts (rms)
pduPhaseVoltageMax,1.3.6.1.4.1.21239.5.2.3.2.1.5,read-only,Gauge32,decivolts (rms)
pduPhaseVoltageMin,1.3.6.1.4.1.21239.5.2.3.2.1.6,read-only,Gauge32,decivolts (rms)
pduPhaseVoltagePeak,1.3.6.1.4.1.21239.5.2.3.2.1.7,read-only,Gauge32,decivolts
pduPhaseCurrent,1.3.6.1.4.1.21239.5.2.3.2.1.8,read-only,Gauge32,centiamps (rms)
pduPhaseCurrentMax,1.3.6.1.4.1.21239.5.2.3.2.1.9,read-only,Gauge32,centiamps (rms)
pduPhaseCurrentMin,1.3.6.1.4.1.21239.5.2.3.2.1.10,read-only,Gauge32,centiamps (rms)
pduPhaseCurrentPeak,1.3.6.1.4.1.21239.5.2.3.2.1.11,read-only,Gauge32,centiamps (rms)
pduPhaseRealPower,1.3.6.1.4.1.21239.5.2.3.2.1.12,read-only,Gauge32,watts
pduPhaseApparentPower,1.3.6.1.4.1.21239.5.2.3.2.1.13,read-only,Gauge32,volt-amps
pduPhasePowerFactor,1.3.6.1.4.1.21239.5.2.3.2.1.14,read-only,Gauge32,%
pduPhaseEnergy,1.3.6.1.4.1.21239.5.2.3.2.1.15,read-only,Gauge32,watt-hours
,,,,
PDU  information,,,,
pduBreakerTable,1.3.6.1.4.1.21239.5.2.3.3,no-access,other,
PduBreakerEntry,1.3.6.1.4.1.21239.5.2.3.3.1,no-access,other,
pduBreakerIndex,1.3.6.1.4.1.21239.5.2.3.3.1.1,read-only,Integer32(1..100),
